4.66687[   4.4939e+00 ];[   4.7635e+00  -3.1166e+00  -2.0001e+00 ];5 -3 -2
4.65328[   3.5393e+00 ];[   4.3951e+00  -3.3097e+00  -2.0013e+00 ];4.84858 -3.08166 -2.05647
2.98966[   5.6672e+00 ];[   4.4759e+00  -3.2326e+00  -1.9977e+00 ];4.69365 -3.1813 -2.08916
3.28246[   4.7913e+00 ];[   4.3877e+00  -3.2582e+00  -1.9955e+00 ];4.5311 -3.28233 -1.9997
4.45221[   5.0198e+00 ];[   4.3554e+00  -3.1963e+00  -1.9897e+00 ];4.37003 -3.39581 -1.92383
4.15318[   3.3859e+00 ];[   4.0872e+00  -3.4483e+00  -1.9966e+00 ];4.19928 -3.49263 -1.90596
3.94623[   5.8975e+00 ];[   4.0403e+00  -3.3433e+00  -1.9854e+00 ];4.02186 -3.58918 -1.86872
3.84416[   3.1846e+00 ];[   3.8288e+00  -3.5262e+00  -1.9916e+00 ];3.84288 -3.66844 -1.85193
3.053[   3.5320e+00 ];[   3.6418e+00  -3.6438e+00  -1.9932e+00 ];3.65473 -3.75386 -1.81118
3.42384[   3.3401e+00 ];[   3.4477e+00  -3.7646e+00  -1.9953e+00 ];3.46575 -3.83407 -1.793
3.15313[   2.1235e+00 ];[   3.1539e+00  -4.0925e+00  -2.0211e+00 ];3.2712 -3.92079 -1.81269
1.10729[   2.3601e+00 ];[   2.8871e+00  -4.3210e+00  -2.0369e+00 ];3.07467 -4.02289 -1.83941
2.89131[   3.3663e+00 ];[   2.7566e+00  -4.2428e+00  -2.0124e+00 ];2.86961 -4.1443 -1.80345
1.49383[   3.8375e+00 ];[   2.6871e+00  -4.0598e+00  -1.9701e+00 ];2.66079 -4.24203 -1.76919
1.70718[   2.5551e+00 ];[   2.4904e+00  -4.1420e+00  -1.9674e+00 ];2.44305 -4.33151 -1.77523
2.2336[   3.1155e+00 ];[   2.3205e+00  -4.1700e+00  -1.9550e+00 ];2.2249 -4.41714 -1.79685
1.50179[   4.4111e+00 ];[   2.2907e+00  -3.9542e+00  -1.8914e+00 ];2.00173 -4.50863 -1.78116
0.802804[   1.8196e+00 ];[   2.0674e+00  -4.0879e+00  -1.9003e+00 ];1.77626 -4.5866 -1.80275
1.46534[   3.1066e+00 ];[   1.9676e+00  -4.0087e+00  -1.8566e+00 ];1.54483 -4.68888 -1.83058
1.24675[   7.3500e-01 ];[   1.6650e+00  -4.2592e+00  -1.8998e+00 ];1.30809 -4.76508 -1.84983
0.920818[   3.2251e-02 ];[   1.1941e+00  -4.7461e+00  -2.0161e+00 ];1.06826 -4.85983 -1.82189
0.893399[  -4.6745e-02 ];[   8.8297e-01  -4.9545e+00  -2.0514e+00 ];0.820816 -4.95059 -1.80808
0.39463[   2.3651e-01 ];[   5.9007e-01  -5.1215e+00  -2.0755e+00 ];0.573227 -5.02556 -1.80593
0.140386[  -4.9900e-01 ];[   1.9690e-01  -5.4295e+00  -2.1606e+00 ];0.316708 -5.12328 -1.83247
0.107115[  -9.7985e-01 ];[   3.1091e-02  -5.3605e+00  -2.0700e+00 ];0.062955 -5.22106 -1.81377
