4.562[   5.4918e+00 ];[   5.0006e+00  -3.0697e+00  -1.9998e+00 ];5 -3 -2
4.16947[   4.8350e+00 ];[   4.8427e+00  -3.1705e+00  -1.9998e+00 ];4.84713 -3.09961 -2.03099
4.18095[   4.4665e+00 ];[   4.6445e+00  -3.2970e+00  -2.0004e+00 ];4.6869 -3.21318 -2.01218
3.65857[   3.9390e+00 ];[   4.3919e+00  -3.4803e+00  -2.0027e+00 ];4.52327 -3.31263 -2.05328
4.27903[   3.3913e+00 ];[   4.0917e+00  -3.7307e+00  -2.0082e+00 ];4.35639 -3.41635 -2.05925
3.41313[   5.3757e+00 ];[   4.1181e+00  -3.5283e+00  -1.9947e+00 ];4.17998 -3.5193 -2.0348
2.63191[   3.8213e+00 ];[   3.9221e+00  -3.6545e+00  -1.9961e+00 ];4.00262 -3.61851 -2.02449
2.60662[   5.2340e+00 ];[   3.9545e+00  -3.3982e+00  -1.9738e+00 ];3.82327 -3.69846 -2.04259
3.5326[   4.5773e+00 ];[   3.8986e+00  -3.3006e+00  -1.9597e+00 ];3.63352 -3.79588 -2.04164
3.55399[   3.5536e+00 ];[   3.6709e+00  -3.5012e+00  -1.9681e+00 ];3.43888 -3.8957 -1.99932
1.32242[   4.6935e+00 ];[   3.6373e+00  -3.3500e+00  -1.9442e+00 ];3.23974 -4.0134 -1.9741
2.54565[   2.5811e+00 ];[   3.3566e+00  -3.6392e+00  -1.9652e+00 ];3.03883 -4.10972 -1.99071
1.71299[   2.2801e+00 ];[   3.0560e+00  -3.9364e+00  -1.9898e+00 ];2.83649 -4.17644 -1.9674
1.79575[   3.2888e+00 ];[   2.9140e+00  -3.9397e+00  -1.9765e+00 ];2.62487 -4.29846 -1.93976
2.32575[   1.4544e+00 ];[   2.5421e+00  -4.3212e+00  -2.0197e+00 ];2.40789 -4.3876 -1.96288
2.08982[   1.5097e+00 ];[   2.1507e+00  -4.6980e+00  -2.0661e+00 ];2.18706 -4.50595 -1.94995
1.66432[   3.7346e+00 ];[   2.0473e+00  -4.5845e+00  -2.0225e+00 ];1.95763 -4.59753 -1.95747
1.37703[   1.7515e+00 ];[   1.8100e+00  -4.6947e+00  -2.0246e+00 ];1.72525 -4.70403 -1.94668
1.27864[   8.4892e-01 ];[   1.5106e+00  -4.8952e+00  -2.0501e+00 ];1.48806 -4.79052 -1.95726
1.0598[   1.5980e+00 ];[   1.1681e+00  -5.1479e+00  -2.0923e+00 ];1.2446 -4.89844 -1.92345
0.631565[   7.6594e-01 ];[   9.0141e-01  -5.2635e+00  -2.0960e+00 ];0.999005 -4.98158 -1.94731
0.659783[   3.8497e-01 ];[   6.5212e-01  -5.3410e+00  -2.0858e+00 ];0.744799 -5.08118 -1.89713
